movie_id,cast,crew
0,"['Shelly Hanna', 'Mark Young', 'Michael Grimes', 'Willie Mccormick', 'Thomas Barnes', 'Sean Roach', 'Colleen Landry']","['William Guzman', 'Luis Jensen', 'Gary Hudson', 'Stephen Wilson', 'Peggy Williams', 'Amber Crawford', 'Robert Bailey', 'Peter Casey', 'Carol Barajas']"
1,"['Rita Ramos', 'Laura Brooks', 'Paul Barnes', 'Eugene Pollard', 'Ashley Clayton', 'Howard Crawford', 'Sara Jones']","['Amy Rice MD', 'Stephanie King', 'Frank Daniel', 'Brian Walker', 'Mrs. Jessica Davis MD', 'Terri Garcia', 'Rebecca Carroll', 'Victoria Chan', 'Amber Cook', 'Joseph Ramirez', 'Michael Brown', 'Karina White', 'Sarah Gray']"
2,"['William Bates', 'Michelle Alvarez', 'Miss Desiree Neal', 'Scott Sullivan', 'Susan Reynolds', 'Carla Lewis', 'Heather Moore', 'Laura Rojas', 'Ruth Williamson', 'Jeremy Stanley']","['Tiffany Parker', 'Ashley Tate', 'Stephanie Mitchell', 'Marie White', 'Susan Mcdonald', 'Erin Williams', 'Erin Alexander', 'Christopher Mason', 'Steven Phillips']"
3,"['Stefanie Mills', 'Debra Delacruz', 'Kelly Horne DDS', 'Luis Goodwin', 'Andrea Peterson', 'John Rhodes', 'Gerald Walker']","['Angela Moore', 'Jeffrey Jones MD', 'Christine Ortiz', 'Megan Weaver', 'Debbie Collins', 'Scott Parker', 'Christina Elliott', 'Amy Johnson', 'Jonathan Smith', 'Ryan Glover', 'Anthony Jenkins', 'Keith Hudson', 'Shannon Coleman', 'Jennifer Rollins', 'Karen Sanchez']"
4,"['Katherine Farley', 'Darrell Smith', 'Christopher Powell', 'Heather Paul', 'Rhonda Miles', 'Paul Payne', 'John Barnes', 'Gary Rogers', 'Sandra Garza', 'Lauren Fischer', 'Sarah Baker', 'Daniel Yang', 'Andrew Bates', 'Marissa Morales']","['Taylor Johns', 'Cheyenne Knox', 'Alexis Brown', 'Leslie Stewart', 'Michele Parker', 'Ashley Berry', 'Shane Long', 'Vickie Gray', 'Carla Anderson', 'Colton Brown', 'Melissa Wheeler', 'Felicia Wagner', 'Vincent Martin']"
5,"['Tiffany Young', 'Michael Taylor', 'Jose Garcia', 'Edward Gilbert', 'Dr. Danny Hudson DDS', 'Adam Smith', 'Daryl Santos', 'Rebecca Patrick', 'Taylor Turner', 'Bryan Miller', 'John Miller']","['Allen Bryant', 'Jonathan Brock', 'Andrea Ramos', 'Rebecca Miller', 'Michelle Henry', 'Cynthia Esparza', 'Destiny Wright']"
6,"['Meagan Sanders', 'Scott Chapman', 'Aimee Watson', 'Veronica Wheeler', 'William Thomas', 'Robert Rodriguez', 'Christopher Kim', 'Jason Meyer', 'Terri Fields']","['Jeremiah Berry', 'Antonio Kaiser', 'Michael Allen', 'Timothy Moon', 'Christopher Craig', 'Olivia Adkins', 'Lisa Williams', 'Timothy Roberts', 'Tiffany Richardson', 'Jessica Hobbs', 'Dylan Huber', 'April Stokes', 'Wanda Duncan']"
7,"['Alex Ramirez', 'Emily Whitehead', 'Ryan Wood', 'Trevor James', 'Danielle Colon', 'James Mosley', 'Steve Payne', 'Judy Nguyen DDS', 'Katelyn Marshall', 'Allison Fields', 'Kim Mendoza']","['Donald Mckinney', 'Caleb Levine', 'Tonya Parker', 'Charles Carter', 'Diane Sexton', 'Lee Bowman', 'Janet Thomas']"
8,"['Anthony Long', 'Patricia Knox', 'Nicole Taylor', 'Elizabeth Joseph', 'Gabrielle Hernandez', 'Jeffrey Reynolds', 'Ashley Williams', 'Melissa Schultz']","['Mark Smith', 'Tracy Lee', 'Samantha Smith', 'Mary Villa', 'Mr. Samuel Chapman', 'Douglas Rice', 'Logan Wallace']"
9,"['Kathy Wilson', 'Michael Hill', 'Jill Scott', 'Joseph Schaefer', 'Ray Terrell']","['Alicia Brown', 'Elizabeth Davis MD', 'Valerie Parker', 'Deanna Graves', 'Andrew Wood', 'Tiffany Abbott', 'Victor Martin', 'Sean Young', 'James Rodriguez', 'Christopher Clark', 'Renee Robinson', 'Sonya Romero']"
10,"['Todd Parker', 'Eric Everett', 'David Wagner', 'Mrs. Emily Rowe', 'Nicholas Martinez']","['Lori Rodriguez', 'Renee Elliott', 'Alex Jenkins', 'Katherine James', 'Diane King', 'Kevin Moore', 'Raymond Taylor', 'Dr. Kevin Curtis', 'Ryan Bailey', 'Laura Allen']"
11,"['Katherine Zamora', 'Stephen Bennett', 'Richard Nichols MD', 'Andrea Nguyen', 'Ashley Cooper', 'Karen Weber', 'Dr. Matthew Jenkins PhD', 'Calvin Murphy', 'Tracey Flores', 'Erin Tyler', 'Kelly Armstrong', 'Kelly Gross', 'Travis Cook', 'Deanna Gibson', 'Matthew Rodriguez']","['Brian Novak', 'Robert Miller', 'Erica Casey', 'Daniel Lee', 'Mark Holmes', 'Christopher Davenport', 'Taylor Ross', 'Michael Wade', 'Kristy Brown', 'Carol Martinez', 'Angela Harmon']"
12,"['April Bell', 'Charles Thornton', 'Miss Susan King', 'Matthew Schultz', 'Stephanie Green']","['John Mcclain', 'Heather Myers', 'Tony Gonzalez', 'Amanda Gay', 'Douglas Williams', 'Crystal Gilmore', 'Alicia Medina', 'David Banks', 'Jeffrey Spencer', 'Eric Sullivan', 'Robin Nelson', 'Laura Jimenez', 'Lisa Spears']"
13,"['Terri Joyce', 'Angie Johnson', 'Nicole Davis', 'Joel Roberts', 'Laura Burns', 'David Daugherty', 'Sandra English', 'Aimee Sherman', 'William Manning']","['Kevin Clark', 'Jennifer Lopez', 'Kevin Marquez', 'Laura Warren', 'Colleen Blake', 'Derek Martin']"
14,"['Amy Maddox', 'Lisa Phillips', 'Tanner Stevens', 'William White', 'Edward Tran', 'Amy Nelson', 'Jennifer Pugh', 'Kayla Campbell', 'William Hanson', 'Paula Brooks']","['Katherine Walter', 'Keith Cruz', 'Jennifer Johnson', 'Justin Watkins', 'Mrs. Lisa Jones', 'Jo Miller', 'Shirley Medina', 'Victoria Booker', 'Kenneth Mcdonald', 'Eric Garcia']"
15,"['Michael Nelson', 'Linda Morris', 'William Wilson', 'Paul Bowers', 'Jeffrey Villegas', 'Patricia Lang', 'Paul Sheppard', 'Laura Ballard', 'Sarah Parker', 'Denise Morris']","['Sabrina Maldonado', 'Jennifer Ross', 'Sabrina Peterson', 'Ashley Lee', 'Jade Higgins', 'Anthony West']"
16,"['Wesley Gibbs', 'Kelsey Green', 'Larry Robertson', 'Christina Lawson', 'Lisa Perez', 'Wendy Carpenter', 'Calvin Mejia', 'Jason Barnes', 'Marc Olsen', 'Kristi Harper', 'Eric Kim', 'Ricky Brooks', 'Michael Long', 'Matthew Mills', 'Anna Rogers']","['William Hartman', 'Heidi Brown', 'Daniel Reynolds', 'Willie Barajas', 'Patricia Brooks']"
17,"['Larry Ramirez', 'Ashley Stuart', 'Margaret Heath', 'Cynthia Munoz', 'Ashley Fernandez', 'Whitney Smith', 'Robin Andrews', 'Christopher Thompson', 'Nathan Smith', 'Derek Williams']","['Renee Roberts', 'Mitchell Aguirre', 'Virginia Robertson', 'Allen Patel', 'Russell Bell DDS']"
18,"['Alejandro Jennings', 'Veronica Mann', 'Michelle Mcmillan', 'Donna Rose', 'Christian Davis']","['Dylan Cooper', 'Christina Randall', 'Christopher Thompson', 'Crystal Barton', 'Thomas Harris', 'Justin Gallegos', 'Stephanie Alexander', 'Gina Rivera', 'Ronald Johnson']"
